"756","瑞士通過公投停建新核電廠冀以可再生能源取代成為歐洲第二國 - 香港01","https://www.hk01.com/%E5%9C%8B%E9%9A%9B/92793/%E7%91%9E%E5%A3%AB%E9%80%9A%E9%81%8E%E5%85%AC%E6%8A%95%E5%81%9C%E5%BB%BA%E6%96%B0%E6%A0%B8%E9%9B%BB%E5%BB%A0-%E5%86%80%E4%BB%A5%E5%8F%AF%E5%86%8D%E7%94%9F%E8%83%BD%E6%BA%90%E5%8F%96%E4%BB%A3-%E6%88%90%E7%82%BA%E6%AD%90%E6%B4%B2%E7%AC%AC%E4%BA%8C%E5%9C%8B","瑞士通過公投停建新核電廠冀以可再生能源取代成為歐洲第二國 - 香港01"
"757","西屋電氣對繼續建造沃格特勒核電廠的決策表示讚賞| Business Wire","https://www.businesswire.com/news/home/20171222005406/zh-HK/","西屋電氣對繼續建造沃格特勒核電廠的決策表示讚賞| Business Wire"
"758","因應日本核電廠事故而採取有關食物安全的應變措施","http://www.cfs.gov.hk/tc_chi/multimedia/multimedia_pub/multimedia_pub_fsf_57_01.html","因應日本核電廠事故而採取有關食物安全的應變措施"
"759","核電廠徵實習生竟用比基尼大賽面試- Yahoo奇摩新聞","https://tw.news.yahoo.com/%E6%A0%B8%E9%9B%BB%E5%BB%A0%E5%BE%B5%E5%AF%A6%E7%BF%92%E7%94%9F-%E7%AB%9F%E7%94%A8%E6%AF%94%E5%9F%BA%E5%B0%BC%E5%A4%A7%E8%B3%BD%E9%9D%A2%E8%A9%A6-223133394.html","核電廠徵實習生竟用比基尼大賽面試- Yahoo奇摩新聞"
"760","NE69蔡維綱博士-台電核電廠壓力測試計畫評估之總結- 國立清華大學 ...","http://www.ess.nthu.edu.tw/files/15-1163-40638,c5043-1.php?Lang=zh-tw","NE69蔡維綱博士-台電核電廠壓力測試計畫評估之總結- 國立清華大學 ..."
"761","人工智慧如何在核電廠裡找出其它系統看不到的問題| NVIDIA 台灣官方 ...","https://blogs.nvidia.com.tw/2017/05/how-ai-detects-cracks-in-nuclear-power-plants/","人工智慧如何在核電廠裡找出其它系統看不到的問題| NVIDIA 台灣官方 ..."
"762","南韓2020年擁28座核電廠民眾憂311核災重演- 寰宇新聞網","http://globalnewstv.com.tw/%E5%8D%97%E9%9F%932020%E5%B9%B4%E6%93%8128%E5%BA%A7%E6%A0%B8%E9%9B%BB%E5%BB%A0-%E6%B0%91%E7%9C%BE%E6%86%82311%E6%A0%B8%E7%81%BD%E9%87%8D%E6%BC%94/","南韓2020年擁28座核電廠民眾憂311核災重演- 寰宇新聞網"
"763","願景 - 台大醫院金山分院","http://www.js.ntuh.gov.tw/Page.aspx?id=202","願景 - 台大醫院金山分院"
"764","台灣暴雨核電廠電塔倒塌反應堆安全- Now 新聞","http://news.now.com/home/international/player?newsId=223388","台灣暴雨核電廠電塔倒塌反應堆安全- Now 新聞"
"765","英國-海上風電成本砍一半政府稱不影響核電廠計畫 - 服務業節能服務網","http://www.ecct.org.tw/news/show?id=3028466160524bef8382e3e263fff8a3","英國-海上風電成本砍一半政府稱不影響核電廠計畫 - 服務業節能服務網"
"766","【一週新聞短評】 核電廠比搭飛機還安全？｜數位時代","https://www.bnext.com.tw/article/view/id/26962","【一週新聞短評】 核電廠比搭飛機還安全？｜數位時代"
"767","大飯核電廠重啟3號機組日本第6座重啟機組| 國際| 20180314 | 即時新聞 ...","https://m.ctee.com.tw/livenews/gj/20180314004277-260408","大飯核電廠重啟3號機組日本第6座重啟機組| 國際| 20180314 | 即時新聞 ..."
"768","台当局将重启第二核电厂2号机组称“符合标准” _ 新浪国内_ 火狐中文网","http://domestic.firefox.sina.com/18/0315/21/TEWZC3MGK8LOVPQX.html","台当局将重启第二核电厂2号机组称“符合标准” _ 新浪国内_ 火狐中文网"
"769","日本福島核事故– 比較臺灣核電廠安全設施| 科學Online","http://highscope.ch.ntu.edu.tw/wordpress/?p=30792","日本福島核事故– 比較臺灣核電廠安全設施| 科學Online"
"770","沒有最終處置場，核電廠除役玩假的？ | 彭杏珠| 遠見雜誌","https://www.gvm.com.tw/article.html?id=21884","沒有最終處置場，核電廠除役玩假的？ | 彭杏珠| 遠見雜誌"
"771","6 熊本大地震如果發生在台灣？ 我國核電廠已精進耐震能力","http://www.nicenter.org.tw/modules/tadbook2/view.php?book_sn=&bdsn=1532","6 熊本大地震如果發生在台灣？ 我國核電廠已精進耐震能力"
"772","我家離核電廠多近？ - Baagic 咩即可- 消費者熱線","http://blog.baagic.com/nukes","我家離核電廠多近？ - Baagic 咩即可- 消費者熱線"
"773","從福島核電廠事故思考風險與安全| nippon.com 日本網","https://www.nippon.com/hk/currents/d00085/","從福島核電廠事故思考風險與安全| nippon.com 日本網"
"774","揭開台灣核電廠不能說的8個祕密| 苦勞網","http://www.coolloud.org.tw/node/67456","揭開台灣核電廠不能說的8個祕密| 苦勞網"
"775","現場：中國埋單「地球最貴核電廠」｜國際｜端傳媒Initium Media","https://theinitium.com/article/20151021-international-nuclearuka/","現場：中國埋單「地球最貴核電廠」｜國際｜端傳媒Initium Media"
"776","我們到底需不需要核電廠？ @ 巴拉巴拉備忘錄:: 痞客邦::","http://hoshimi.pixnet.net/blog/post/28627721-%E6%88%91%E5%80%91%E5%88%B0%E5%BA%95%E9%9C%80%E4%B8%8D%E9%9C%80%E8%A6%81%E6%A0%B8%E9%9B%BB%E5%BB%A0%EF%BC%9F","我們到底需不需要核電廠？ @ 巴拉巴拉備忘錄:: 痞客邦::"
"777","核電廠與死刑| 台灣廢除死刑推動聯盟","http://www.taedp.org.tw/story/2207","核電廠與死刑| 台灣廢除死刑推動聯盟"
"778","大亞灣應變計劃輻射與核安全核電廠","http://www.dbcp.gov.hk/chi/safety/plants.htm","大亞灣應變計劃輻射與核安全核電廠"
"779","【時事想想】正視核電廠的除役經費問題| 想想論壇","http://www.thinkingtaiwan.com/content/783","【時事想想】正視核電廠的除役經費問題| 想想論壇"
"780","揭開台灣核電廠不能說的8個祕密- 今周刊","https://www.businesstoday.com.tw/article/category/80392/post/201203220011","揭開台灣核電廠不能說的8個祕密- 今周刊"
"781","另類社會觀光度假中心相看法國核電廠| 公民行動影音紀錄資料庫","https://www.civilmedia.tw/archives/68315","另類社會觀光度假中心相看法國核電廠| 公民行動影音紀錄資料庫"
"782","核电厂信息 - 中华人民共和国环境保护部","http://www.mep.gov.cn/hyfs_12801/hdc/hdcxx/","核电厂信息 - 中华人民共和国环境保护部"
"783","核二二號機將再轉帶你鳥瞰兩座核電廠現狀| 焦點事件","http://www.eventsinfocus.org/news/2283","核二二號機將再轉帶你鳥瞰兩座核電廠現狀| 焦點事件"
"784","韓國各界要求中止延長核電廠運轉- BBC 中文网","http://www.bbc.com/zhongwen/trad/world/2015/02/150210_skorea_nuclear_plant","韓國各界要求中止延長核電廠運轉- BBC 中文网"
"785","大公國首座核電廠Barakah發電廠建造工程目前已完成75% - 駐杜拜臺北 ...","https://www.roc-taiwan.org/dxb/post/2293.html","大公國首座核電廠Barakah發電廠建造工程目前已完成75% - 駐杜拜臺北 ..."
"786","外交部宣布，除『福島第一核電廠半徑30公里內區域』及『計畫避難區域』之 ...","https://www.mofa.gov.tw/News_Content.aspx?n=BE69228FAB8333ED&sms=5D7D92A0DD1CC9C2&s=26F92817B292783C","外交部宣布，除『福島第一核電廠半徑30公里內區域』及『計畫避難區域』之 ..."
"787","[PDF]
防止核电厂遭受破坏的防止核电厂遭受破坏的工程 ... - IAEA Publications","http://www-pub.iaea.org/MTCD/publications/PDF/Pub1271c_web.pdf","[PDF]
防止核电厂遭受破坏的防止核电厂遭受破坏的工程 ... - IAEA Publications"
"788","綠色和平回應傳媒揭發台山核電廠兩座核島的圓頂已被混凝土密封| 綠色 ...","http://www.greenpeace.org/hk/press/releases/climate-energy/2016/05/taishan-response/","綠色和平回應傳媒揭發台山核電廠兩座核島的圓頂已被混凝土密封| 綠色 ..."
"789","核電廠補助金對象擴大為方圓30公里意圖獲地方同意重啟?：朝日新聞 ...","http://asahichinese-f.com/society/11190084","核電廠補助金對象擴大為方圓30公里意圖獲地方同意重啟?：朝日新聞 ..."
"790","美企業曾期盼佛林促成中東建核電廠| 世界新聞網 - WorldJournal.","http://www.worldjournal.com/5308902/article-%E7%BE%8E%E4%BC%81%E6%A5%AD%E6%9B%BE%E6%9C%9F%E7%9B%BC%E4%BD%9B%E6%9E%97-%E4%BF%83%E6%88%90%E4%B8%AD%E6%9D%B1%E5%BB%BA%E6%A0%B8%E9%9B%BB%E5%BB%A0/","美企業曾期盼佛林促成中東建核電廠| 世界新聞網 - WorldJournal."
"791","核電廠日常運行會產生什麼放射性廢物？","http://www.weather.gov.hk/radiation/tidbit/200703/radioactive_wastes_q6c.htm","核電廠日常運行會產生什麼放射性廢物？"
"792","[PDF]
南德州核電廠 - Micro Focus","https://www.microfocus.com/zh-tw/media/success-story/south_texas_project_nuclear_facility_ss_tw.pdf","[PDF]
南德州核電廠 - Micro Focus"
"793","台当局将重启第二核电厂2号机组称“符合标准”|机组|核电厂|当局_新浪新闻","http://news.sina.com.cn/o/2018-03-15/doc-ifyshvpa6837857.shtml","台当局将重启第二核电厂2号机组称“符合标准”|机组|核电厂|当局_新浪新闻"
"794","監督核電廠 - 非常木蘭","http://www.verymulan.com/search/tag?keyword=%E7%9B%A3%E7%9D%A3%E6%A0%B8%E9%9B%BB%E5%BB%A0","監督核電廠 - 非常木蘭"
"795","吳院長出席「核電廠緊急事故整備與應變」公聽會(行政院全球資訊網-即時 ...","https://www.ey.gov.tw/News_Content.aspx?n=F8BAEBE9491FC830&sms=99606AC2FCD53A3A&s=418AA83FB2656798","吳院長出席「核電廠緊急事故整備與應變」公聽會(行政院全球資訊網-即時 ..."
"796","核电厂_北极星电力新闻网","http://news.bjx.com.cn/zt.asp?topic=%BA%CB%B5%E7%B3%A7","核电厂_北极星电力新闻网"
"797","嚇！ 3核電廠除役經費短缺近3000億－民視新聞- YouTube","https://www.youtube.com/watch?v=WcCoXJWOgh8","嚇！ 3核電廠除役經費短缺近3000億－民視新聞- YouTube"
"798","社評：粵核電廠如雨後春筍安全管理成重中之重- 20160308 - 社評‧筆陣 ...","http://news.mingpao.com/pns/dailynews/web_tc/article/20160308/s00003/1457373525933","社評：粵核電廠如雨後春筍安全管理成重中之重- 20160308 - 社評‧筆陣 ..."
"799","#核電廠hashtag on Twitter","https://twitter.com/hashtag/%E6%A0%B8%E9%9B%BB%E5%BB%A0","#核電廠hashtag on Twitter"
"800","核電廠 - 艾訊","http://www.axiomtek.com.tw/Default.aspx?MenuId=Solutions&FunctionId=SolutionView&ItemId=657&Title=%E6%A0%B8%E9%9B%BB%E5%BB%A0","核電廠 - 艾訊"
"801","驻英国使馆科技处参加核电厂多国设计评价机制会议 - Chinese Embassy","http://www.chinese-embassy.org.uk/chn/zygx/kjjl/t1494403.htm","驻英国使馆科技处参加核电厂多国设计评价机制会议 - Chinese Embassy"
"802","TAAZE | 《被遺忘的動物們：日本福島第一核電廠警戒區紀實》","http://activity.taaze.tw/static_act/201203/0308_fukushima/index.htm","TAAZE | 《被遺忘的動物們：日本福島第一核電廠警戒區紀實》"
"803","[DOC]
核電廠會影響附近居民健康嗎","http://www.vhyl.gov.tw/code_upload/NewsInfo/file1_697_4328353.doc","[DOC]
核電廠會影響附近居民健康嗎"
"804","BBC Chinese | 中文網主頁| 朝鮮核電廠工程停建 - BBC News","http://news.bbc.co.uk/chinese/trad/hi/newsid_3220000/newsid_3228600/3228666.stm","BBC Chinese | 中文網主頁| 朝鮮核電廠工程停建 - BBC News"
